generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
1,global_gen_1.pkl,50,16,34,49490.90058499575,0.8822999596595764,0.9131999611854553,0.9062749780714512,0.9076999723911285,0.007545651397958594,518209.0,716410.0,530794.0,518230.0,49500.12472711559,16,3,0.0,0.5059622224508291,0.08974771432113604,0.006472601154285362,0.15836518538026068
2,global_gen_2.pkl,56,16,40,49490.90058499575,0.8822999596595764,0.9131999611854553,0.906393725425005,0.9076999723911285,0.0076443082121423304,518209.0,716410.0,530794.0,518230.0,49500.12472711559,16,3,0.0,0.5059622224508291,0.09211261046631675,0.030743649887349157,0.1571380775891654
3,global_gen_3.pkl,62,18,44,46588.853148549795,0.8822999596595764,0.9131999611854553,0.9069221980041928,0.9104999899864197,0.007352284526309055,518209.0,716410.0,529434.1666666666,518230.0,46665.551262335335,18,3,0.0,0.5059622224508291,0.07996412718787083,0.01618102064751088,0.14802142403624663
4,global_gen_4.pkl,66,19,47,46588.853148549795,0.8822999596595764,0.9131999611854553,0.9052420760455885,0.9044999480247498,0.008750457480603331,518209.0,716410.0,528841.1578947369,518230.0,45424.36774985079,19,3,0.0,0.5059622224508291,0.07415729409434323,0.017799412055183483,0.14037614858807865
5,global_gen_5.pkl,73,24,49,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9059541374444962,0.9069499671459198,0.008182596997497417,518209.0,716410.0,534914.875,518230.0,55898.29889945901,24,3,0.0,0.5502658931298315,0.0797227330491111,0.015431894360004562,0.16116520414009855
6,global_gen_6.pkl,82,22,60,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9060863364826549,0.9097499847412109,0.008550546445131164,518209.0,716410.0,536433.5909090909,518230.0,58251.237624832276,22,3,0.0,0.5502658931298315,0.08811459968585962,0.015492860841299208,0.16757004954701823
7,global_gen_7.pkl,90,24,66,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9062333057324091,0.9097499847412109,0.008285388497501074,518209.0,716446.0,543203.625,518230.0,66877.29315357278,24,4,0.0,0.5440028313277915,0.0820794428297988,0.014660161668340747,0.1638600510982375
8,global_gen_8.pkl,97,24,73,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9061166395743688,0.9093999862670898,0.008217151494209658,518209.0,716446.0,543174.75,518230.0,66888.39052465129,24,4,0.0,0.5440028313277915,0.0820794428297988,0.014660161668340747,0.1635974680354022
9,global_gen_9.pkl,103,26,77,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9063653579125037,0.9093999862670898,0.00793327649488149,518209.0,716446.0,541254.3076923077,518230.0,64514.80229576417,26,4,0.0,0.5440028313277915,0.0746176752998171,0.013143639648851157,0.15723887761151306
10,global_gen_10.pkl,110,26,84,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9064730497506949,0.9097499847412109,0.007994883711755888,518209.0,716446.0,541280.9615384615,518230.0,64505.04286114739,26,4,0.0,0.5440028313277915,0.0746176752998171,0.014660161668340747,0.1572792615019331
11,global_gen_11.pkl,117,27,90,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9066073806197555,0.910099983215332,0.007870640615958744,518209.0,716446.0,540426.4444444445,518230.0,63408.053931131915,27,4,0.0,0.5440028313277915,0.07137342854765114,0.013888428976676932,0.15444884522168525
12,global_gen_12.pkl,122,26,96,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9063922808720515,0.9097499847412109,0.007945165849794513,518209.0,716446.0,541254.3076923077,518230.0,64514.80229576417,26,4,0.0,0.5440028313277915,0.0746176752998171,0.014660161668340747,0.1572792615019331
13,global_gen_13.pkl,128,26,102,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9063922808720515,0.9097499847412109,0.007945165849794513,518209.0,716446.0,541254.3076923077,518230.0,64514.80229576417,26,4,0.0,0.5440028313277915,0.0746176752998171,0.014660161668340747,0.1572792615019331
14,global_gen_14.pkl,135,27,108,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9066444171799554,0.910099983215332,0.007900266688264922,518209.0,716446.0,540401.5555555555,518230.0,63416.95890589358,27,4,0.0,0.5440028313277915,0.07137342854765114,0.013888428976676932,0.15444884522168525
15,global_gen_15.pkl,142,29,113,46591.95094975829,0.8822999596595764,0.9146999716758728,0.907051696859557,0.910099983215332,0.0077656645161812195,518209.0,716446.0,538873.724137931,518230.0,61376.5731534764,29,4,0.0,0.5440028313277915,0.06566718628006205,0.010802418034445585,0.14917079771298417
16,global_gen_16.pkl,147,29,118,46591.95094975829,0.8822999596595764,0.9146999716758728,0.907051696859557,0.910099983215332,0.0077656645161812195,518209.0,716446.0,538873.724137931,518230.0,61376.5731534764,29,4,0.0,0.5440028313277915,0.06566718628006205,0.010802418034445585,0.14917079771298417
