generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
1,global_gen_1.pkl,50,30,20,48604.30193734169,20544.873140335083,0.8968999981880188,0.9170999526977539,0.9080633242925008,0.910099983215332,0.004555747983679897,494374.0,716776.0,523124.06666666665,518230.0,37070.85740609446,30,4,0.0,0.49505613993729164,0.05238838556300215,0.008180905047118738,0.10240427621997715
2,global_gen_2.pkl,56,30,26,48604.30193734169,20544.873140335083,0.8968999981880188,0.9170999526977539,0.9076199889183044,0.9090499877929688,0.004817241906769751,494374.0,716776.0,520854.4666666667,518230.0,38057.34724907638,30,4,0.0,0.49505613993729164,0.05238838556300215,0.007834090573273736,0.10314089009302571
3,global_gen_3.pkl,62,31,31,48604.30193734169,20544.873140335083,0.8968999981880188,0.9170999526977539,0.9075580508478226,0.9079999923706055,0.005320072356643624,494374.0,716776.0,523165.48387096776,518230.0,41351.406692615245,31,4,0.0,0.5866394730247306,0.06369165960657812,0.0297035399927412,0.12211115422719257
4,global_gen_4.pkl,68,33,35,48604.30193734169,20544.873140335083,0.8968999981880188,0.9170999526977539,0.9079545302824541,0.9079999923706055,0.00561243351131464,494374.0,716776.0,522078.6060606061,518230.0,40364.04618433603,33,4,0.0,0.5767397683929673,0.059299131357848596,0.0297035399927412,0.11561031480088939
5,global_gen_5.pkl,73,34,39,48604.30193734169,20544.873140335083,0.8910999894142151,0.9170999526977539,0.9074588084922117,0.9079499840736389,0.006236990100885406,494374.0,716776.0,518491.0588235294,518230.0,36454.49764572947,34,3,0.0,0.5469223904831306,0.0464981172220905,0.026367537369097957,0.09922756749269766
6,global_gen_6.pkl,77,34,43,49987.73670601845,21073.12271308899,0.8910999894142151,0.9170999526977539,0.9066352791645947,0.9057999849319458,0.006165634326962333,493798.0,716776.0,517063.8823529412,518230.0,36887.60437917085,34,4,0.0,0.4823159873506148,0.04690536668469385,0.022660822670148125,0.09299974432415839
7,global_gen_7.pkl,84,36,48,49987.73670601845,21073.12271308899,0.8910999894142151,0.9170999526977539,0.9070777628156874,0.9068499803543091,0.006286360026234509,493798.0,716776.0,519794.55555555556,518230.0,39353.452758625855,36,4,0.0,0.5457778300078854,0.05064442254092752,0.023077346305767674,0.10439316141758571
8,global_gen_8.pkl,91,36,55,50951.01630401611,43362.3199634552,0.8910999894142151,0.9170999526977539,0.9066388739479913,0.9057999849319458,0.006145344254603062,469494.0,716776.0,518459.8333333333,518230.0,40236.88642704424,36,4,0.0,0.5100340949743946,0.048533451853271015,0.023077346305767674,0.09786793916664714
9,global_gen_9.pkl,97,39,58,50946.53582817316,43381.233083605766,0.8910999894142151,0.9174999594688416,0.9070461377119406,0.9057999849319458,0.006332901878277004,469494.0,716776.0,517741.1282051282,518230.0,38817.71763619199,39,4,0.0,0.4761473956026709,0.044239406538332283,0.022727683228046726,0.08874424865985632
10,global_gen_10.pkl,106,39,67,50905.33588707447,43381.233083605766,0.8910999894142151,0.9174999594688416,0.9066563951663482,0.9057999849319458,0.005902886383746771,469494.0,716776.0,517135.07692307694,518230.0,38998.63177315504,39,4,0.0,0.42880003107921505,0.04423940653833228,0.022727683228046726,0.08197396723203493
11,global_gen_11.pkl,112,41,71,50906.3019849062,43381.233083605766,0.8910999894142151,0.9174999594688416,0.9062365700558919,0.9057999849319458,0.006259541916563177,469494.0,716776.0,515436.68292682926,518230.0,38866.51228399522,41,4,0.0,0.42880003107921505,0.04580921823807107,0.022727683228046726,0.08178628587742268
12,global_gen_12.pkl,118,43,75,50906.3019849062,43381.233083605766,0.8910999894142151,0.9174999594688416,0.9057162625845089,0.9056999683380127,0.007049077134479373,469494.0,716776.0,517883.3488372093,517558.0,45116.451755368165,43,4,0.0,0.33025666763181494,0.04640998486127435,0.022727683228046726,0.07301198950479545
13,global_gen_13.pkl,126,45,81,50520.80890035629,44819.87302005291,0.8910999894142151,0.9174999594688416,0.9060710946718852,0.9056999683380127,0.006488960279808706,467926.0,716776.0,516270.4888888889,516886.0,44964.607969451536,45,4,0.0,0.3313081988951815,0.04542958636295883,0.01894030046193652,0.0731099521915732
14,global_gen_14.pkl,135,44,91,50280.73268210888,44819.87302005291,0.8910999894142151,0.9174999594688416,0.9062022553248839,0.9057499766349792,0.006502894583600265,467926.0,716776.0,517264.6818181818,517222.0,44966.5158978259,44,4,0.0,0.3313081988951815,0.04541301959808811,0.016254088273771203,0.07439307274893994
15,global_gen_15.pkl,139,44,95,50280.73268210888,44819.87302005291,0.8910999894142151,0.9174999594688416,0.9059772559187629,0.9057499766349792,0.006825560091904285,467926.0,716776.0,517264.6818181818,517222.0,44966.5158978259,44,4,0.0,0.3313081988951815,0.044702758330765494,0.01857070551848298,0.07219513614444609
16,global_gen_16.pkl,145,45,100,54160.51849770546,55917.95252978802,0.8910999894142151,0.9174999594688416,0.9058799823125203,0.9056999683380127,0.00672652681193551,455830.0,716776.0,516441.86666666664,516886.0,44943.51306291447,45,4,0.0,0.317355304814666,0.04315609271315312,0.020832298529298878,0.0686478277128454
