generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
1,global_gen_1.pkl,46,19,27,59196.21710014343,0.885699987411499,0.911300003528595,0.9017578896723295,0.911300003528595,0.012609408278006353,515302.0,518230.0,517151.2631578947,518230.0,1451.101070149655,19,2,0.0,1.0,0.11764705882352941,0.0,0.3246187604070249
2,global_gen_2.pkl,53,21,32,59193.31473785639,0.885699987411499,0.911300003528595,0.9015428509031024,0.911300003528595,0.012549213899383946,515302.0,518230.0,517114.6666666667,518230.0,1456.8875499959952,21,2,0.0,0.9605964974519501,0.10526315789473684,0.0,0.30139522802005425
3,global_gen_3.pkl,59,17,42,59193.31473785639,0.885699987411499,0.911300003528595,0.9037647001883563,0.911300003528595,0.011772696031133373,515302.0,518230.0,517368.9411764706,518230.0,1375.0007486628979,17,2,0.0,0.9605964974519501,0.13333333333333333,0.0,0.33583192561176617
4,global_gen_4.pkl,65,19,46,59193.31473785639,0.885699987411499,0.911300003528595,0.9032105207443237,0.911300003528595,0.012006529268452233,515302.0,518230.0,517305.4736842105,518230.0,1398.1568568981193,19,2,0.0,0.9605964974519501,0.11764705882352941,0.0,0.31724750793555334
5,global_gen_5.pkl,71,20,51,59193.31473785639,0.885699987411499,0.911300003528595,0.9036149948835372,0.911300003528595,0.011825461282794963,515302.0,518230.0,517351.7,518230.0,1376.4786919795324,20,2,0.0,0.9605964974519501,0.1111111111111111,0.0,0.30902194821022594
6,global_gen_6.pkl,78,23,55,59193.31473785639,0.885699987411499,0.911300003528595,0.9019347740256268,0.911300003528595,0.011956508038507358,515302.0,718606.0,525923.8260869565,518230.0,42026.83539191701,23,3,0.0,0.29039949520689934,0.029724031734324547,0.0,0.0745497715648252
7,global_gen_7.pkl,85,20,65,59193.31473785639,0.885699987411499,0.911300003528595,0.9025349915027618,0.911300003528595,0.012053020422253409,515302.0,518230.0,517205.5,518230.0,1432.4281740053184,20,2,0.0,0.9605964974519501,0.11111111111111112,0.0,0.30204579485285205
8,global_gen_8.pkl,91,23,68,59193.31473785639,0.885699987411499,0.911300003528595,0.9025652097619098,0.911300003528595,0.012055323148588109,515302.0,518230.0,517211.82608695654,518230.0,1425.5262394247738,23,2,0.0,0.9605964974519501,0.09523809523809523,0.0,0.2813080419173065
9,global_gen_9.pkl,100,26,74,59189.654741346836,0.885699987411499,0.911300003528595,0.9028384525042313,0.911300003528595,0.0117258164666245,515302.0,518230.0,517216.8461538461,518230.0,1420.022779882286,26,2,0.0,0.9195799129356439,0.08333333333333334,0.0,0.25685845078876507
10,global_gen_10.pkl,106,25,81,59189.654741346836,0.885699987411499,0.911300003528595,0.9043879938125611,0.911300003528595,0.011162796047517862,515302.0,518230.0,517410.4,518230.0,1341.3854777803433,25,2,0.0,0.9195799129356439,0.08695652173913043,0.0,0.2620034428334958
11,global_gen_11.pkl,112,25,87,59189.654741346836,0.885699987411499,0.911300003528595,0.9034639930725098,0.911300003528595,0.011535314531196522,515302.0,518230.0,517293.28,518230.0,1393.6498699458195,25,2,0.0,0.9117684497589511,0.08695652173913043,0.0,0.2548637295639138
12,global_gen_12.pkl,121,28,93,59189.654741346836,0.885699987411499,0.911300003528595,0.9024749930415835,0.911300003528595,0.011954634954866459,515302.0,518230.0,517184.5,518230.0,1428.4250456748198,28,2,0.0,0.9117684497589511,0.07692307692307693,0.0,0.2407561707513324
13,global_gen_13.pkl,129,28,101,59189.654741346836,0.885699987411499,0.911300003528595,0.902796419603484,0.911300003528595,0.011537888431645861,515302.0,518230.0,517184.64285714284,518230.0,1428.229886420813,28,2,0.0,0.9117684497589511,0.07692307692307693,0.0,0.2407561707513324
14,global_gen_14.pkl,139,30,109,59189.654741346836,0.885699987411499,0.911300003528595,0.9018066565195719,0.911300003528595,0.011767704714241095,515302.0,518230.0,517059.2,518230.0,1458.4448590524605,30,2,0.0,0.9117684497589511,0.07142857142857142,0.0,0.23254448836490121
15,global_gen_15.pkl,145,30,115,59189.654741346836,0.885699987411499,0.911300003528595,0.9033633251984914,0.911300003528595,0.011340038764123962,515302.0,518230.0,517254.3333333333,518230.0,1403.3892063030185,30,2,0.0,0.9117684497589511,0.07142857142857142,0.0,0.23254448836490121
16,global_gen_16.pkl,152,29,123,59189.654741346836,0.885699987411499,0.911300003528595,0.903003439821046,0.911300003528595,0.011548991577682632,515302.0,518230.0,517220.6896551724,518230.0,1415.8640245308131,29,2,0.0,0.9117684497589511,0.07407407407407407,0.0,0.23623149967170803
