generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
1,global_gen_1.pkl,49,25,24,65686.84353888035,0.7567999958992004,0.9139999747276306,0.8948999810218811,0.9079999923706055,0.03373251609859293,113086.0,525502.0,453601.36,518230.0,140234.2395645229,25,3,0.0,0.35647917659669787,0.07675921582965986,0.007332971974247607,0.1317972961627677
2,global_gen_2.pkl,57,28,29,65825.67352342606,0.6292999982833862,0.9143999814987183,0.8889071238892419,0.9076499938964844,0.05458316778549053,113086.0,525502.0,438621.14285714284,517924.0,149761.68933977996,28,3,0.0,0.3844264615369177,0.06435229241198026,0.004610804994714786,0.12358304045916131
3,global_gen_3.pkl,64,30,34,68403.07318735123,0.7718999981880188,0.9143999814987183,0.8892366468906403,0.902899980545044,0.033668310128385844,113002.0,525502.0,423501.6,517702.0,157623.8560251851,30,4,0.0,0.33353166749631524,0.05068629682606451,0.008038298406021412,0.0957800820650183
4,global_gen_4.pkl,71,32,39,69377.29509568214,0.7718999981880188,0.9143999814987183,0.8842437323182821,0.9011999666690826,0.03838736291307851,110122.0,525502.0,410148.25,517294.0,163346.235131234,32,4,0.0,0.31852572905199655,0.05564693557898514,0.012446871435927537,0.09403156572870972
5,global_gen_5.pkl,78,35,43,69430.17601621151,0.7718999981880188,0.9143999814987183,0.8837428382464818,0.902899980545044,0.03848958700576447,110122.0,525502.0,407960.28571428574,517702.0,166238.10624886848,35,4,0.0,0.31852572905199655,0.051306320419436384,0.011929923333778103,0.08500714040664306
6,global_gen_6.pkl,85,40,45,73414.20932364464,0.752299964427948,0.9143999814987183,0.8811324819922447,0.9011999666690826,0.04277337505192488,14014.0,541495.0,399553.825,517702.0,171186.71344379077,40,3,0.0,0.32191383457215506,0.04941264720015947,0.008328102759720502,0.08136046839102312
7,global_gen_7.pkl,95,42,53,75500.78407216072,0.752299964427948,0.9143999814987183,0.8806190277848925,0.9011999666690826,0.0426241494563064,14014.0,541495.0,395747.35714285716,517702.0,173948.2207383567,42,3,0.0,0.2333882606522915,0.04687866529245898,0.008328102759720502,0.07162457697201113
8,global_gen_8.pkl,104,44,60,74607.01862883568,0.752299964427948,0.9143999814987183,0.8798204335299405,0.9011999666690826,0.04185543994590324,14014.0,541495.0,392067.38636363635,517702.0,175784.72910289303,44,3,0.0,0.2196343498990209,0.04459190113185123,0.009253610934307304,0.06707934186288404
9,global_gen_9.pkl,112,46,66,74593.15626811981,0.752299964427948,0.9143999814987183,0.8716651978700057,0.8943999707698822,0.04639825654879703,14014.0,541495.0,359946.8043478261,516766.0,185506.5445081679,46,3,0.0,0.2196343498990209,0.04604245265563897,0.012542131938227761,0.06698279713636819
10,global_gen_10.pkl,120,48,72,74219.96554756165,0.752299964427948,0.914900004863739,0.872699980934461,0.8943999707698822,0.04597385479023445,14014.0,541495.0,358255.4375,516766.0,186313.35207882198,48,3,0.0,0.21945245686215453,0.04396153176142553,0.012512727343335063,0.06562131530955541
