generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
1,global_gen_1.pkl,47,22,25,50731.32689744234,3384.796709060669,0.9021999835968018,0.9157999753952026,0.9099681675434113,0.911300003528595,0.0027630883637727267,515302.0,909706.0,559435.2727272727,518230.0,114225.33261942079,22,3,0.0,0.48860174214612656,0.08451269854558108,0.03311598564215785,0.14390256247070105
2,global_gen_2.pkl,54,22,32,50731.32689744234,3384.796709060669,0.9021999835968018,0.9157999753952026,0.9095727096904408,0.9108499884605408,0.0032122049381607277,515302.0,909706.0,559301.2272727273,518230.0,114277.68308480708,22,3,0.0,0.48860174214612656,0.09211036950970578,0.04141495855634963,0.14300059861074427
3,global_gen_3.pkl,58,22,36,50731.32689744234,3384.796709060669,0.9021999835968018,0.9157999753952026,0.9097772538661957,0.9108499884605408,0.0031292646826242055,515302.0,909706.0,559303.6818181818,518230.0,114276.75714951061,22,3,0.0,0.48860174214612656,0.09211036950970578,0.03311598564215785,0.14530606496511894
4,global_gen_4.pkl,64,23,41,49699.93562555313,3404.028508543968,0.9021999835968018,0.9157999753952026,0.9097086761308752,0.9103999733924866,0.0031853220598825,515281.0,909706.0,574244.7826086957,518230.0,133043.46875054733,23,4,0.0,0.48492719273938234,0.08243279204055302,0.0233300080448896,0.14320337604707137
5,global_gen_5.pkl,70,24,46,49699.93562555313,3404.028508543968,0.9041999578475952,0.9157999753952026,0.9100958133737246,0.9102999866008759,0.0022666725037984218,515281.0,909706.0,572067.0833333334,518230.0,130551.28417762705,24,3,0.0,0.49253370752054315,0.07550409550009517,0.026499105843746047,0.1388836063134491
6,global_gen_6.pkl,74,25,49,49699.93562555313,3404.028508543968,0.9018999934196472,0.9157999753952026,0.9097359824180603,0.9101999998092651,0.0027834116443575807,515281.0,909706.0,569825.28,518230.0,128293.10009522465,25,4,0.0,0.48397502655689106,0.07034854874765618,0.022933307605872224,0.1367254162865092
7,global_gen_7.pkl,79,26,53,49700.460946291685,3404.028508543968,0.9018999934196472,0.9157999753952026,0.9095230606886057,0.9101499915122986,0.002739969619061464,515281.0,909706.0,567770.6923076923,518230.0,126136.86751295808,26,4,0.0,0.48397502655689106,0.06717024819048213,0.01866376049551255,0.13410642040162463
8,global_gen_8.pkl,84,27,57,46342.66987654567,3404.028508543968,0.9018999934196472,0.9157999753952026,0.9096888701121012,0.9101999998092651,0.00271609318149743,515281.0,909706.0,565826.6296296297,518230.0,124099.19391610399,27,4,0.0,0.48397502655689106,0.06429328914525329,0.01801855828724384,0.13169259158713836
9,global_gen_9.pkl,90,28,62,48300.54235365987,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.909649983048439,0.9101999998092651,0.0026049040521012755,515185.0,909706.0,564006.0,518219.5,122159.72316541919,28,4,0.0,0.4838677632118796,0.06503932670649154,0.01670362408036234,0.13110554456410436
10,global_gen_10.pkl,96,31,65,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9099193369188616,0.9101999998092651,0.002443819591639423,515185.0,909706.0,560803.4516129033,518230.0,116447.56869505369,31,4,0.0,0.4730767356521998,0.053285077254595525,0.014394211534359533,0.12118580227285887
11,global_gen_11.pkl,103,31,72,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9096999822124359,0.9101999998092651,0.0028722769931566992,515185.0,909706.0,573407.2903225806,518230.0,131390.35743315757,31,4,0.0,0.4715901227722771,0.06447609013941166,0.019525360128792413,0.12183980171039735
12,global_gen_12.pkl,108,31,77,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9096999822124359,0.9101999998092651,0.0028722769931566992,515185.0,909706.0,573407.2903225806,518230.0,131390.35743315757,31,4,0.0,0.4715901227722771,0.06447609013941166,0.019525360128792413,0.12183980171039735
13,global_gen_13.pkl,116,33,83,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9098454370643153,0.9101999998092651,0.0028806521735023623,515185.0,909706.0,571480.2424242424,518230.0,127585.2148225428,33,4,0.0,0.4628174592131763,0.06213810411398163,0.019525360128792413,0.11585001724893974
14,global_gen_14.pkl,122,37,85,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9099621450578844,0.9103999733924866,0.0030704068388843044,515185.0,909706.0,567037.3243243244,518230.0,121199.96012124712,37,4,0.0,0.45895834905174004,0.05656908919003436,0.02158419917411011,0.10668558449351116
15,global_gen_15.pkl,130,37,93,48301.880047380924,3491.9453061819077,0.9018999934196472,0.9157999753952026,0.9101324145858353,0.9106999635696411,0.0029154766320918873,515185.0,909706.0,576347.4324324324,518230.0,133651.16547638742,37,4,0.0,0.45895834905174004,0.05344729938566831,0.02158419917411011,0.10797220681980223
